,Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type_of_PPI,Subtype of PPI,Project status,dateStatusUpdated,Primary_sector,Subsector,Segment,Location,ContractPeriod,GovtGrantingContract,DirectGovtSupport,DirectGovtSupportValue,InDirectGovtSupport,InDirectGovtSupportValue,Total Equity,InvestmentYear,PercentPrivate,FeesToGovernment,PhysicalAssets,TotalInvestment,CapacityType,Capacity,Technology,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,Sponsors,Main Revenue Source,Other Revenue Source,MultiLateralSupport,BiLateralSupport,TotalDebtFunding,DebtEquityGrantRatio,ProjectBanks,UnsolicitedProposal,PublicDisclosure,State_Abv,State_Code
0,East Asia and Pacific,Cambodia,Low income,IDA,1997,June,Cambodia Power Company,Phnom Penh Power Plant,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,Phnom Penh,25,Not Available,Not Available,,Not Available,,,1997,100,0,82,82,MW,60,Diesel,,,Not Available,,"Mosbacher Power Group (Not Available / Not Available% / ..), 
Beacon Hill (Not Available / Not Available% / ..)",Not Applicable,,"IDA (Loan / $.. Million / 1997), 
IFC (Loan / $.. Million / 1997)",No,,,,Yes,No,MS,13
1,East Asia and Pacific,Cambodia,Low income,IDA,1997,June,Cambodia Pte Ltd. Power Plant ,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Chak Angre district , Phnom Penh ",18,Not Available,Not Available,,Not Available,,,1997,100,0,45,45,MW,35,Diesel,,Not Applicable,Not Available,,"Leader Universal Holdings (Not Available / 60% / ..), 
Delcom Services Sdh Bhd (Not Available / 20% / ..), 
Grand United Holdings Berhad (Not Available / 20% / ..)",Not Applicable,,No,No,,,,Yes,No,MI,42
2,East Asia and Pacific,Cambodia,Low income,IDA,1999,April,Jupiter Power Battambang,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Battambang,15,Not Available,Not Available,,Not Available,,,1999,100,0,10,10,MW,15,Diesel,,,Not Available,,"Caterpillar Inc. (Not Available / 49% / United States), 
Maxim Power Corporation (Not Available / 51% / Canada)",Not Applicable,,No,No,,,OPIC (Not Available / Not Available / $Not Available),Yes,No,GA,32
3,East Asia and Pacific,Cambodia,Low income,IDA,1999,April,Jupiter Power Battambang,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Battambang,15,Not Available,Not Available,,Not Available,,,2002,100,0,2.1,2.1,MW,22,Diesel,,,Not Available,,"Caterpillar Inc. (Not Available / 49% / United States), 
Maxim Power Corporation (Not Available / 51% / Canada)",Not Applicable,,No,No,,,OPIC (Not Available / Not Available / $Not Available),Yes,No,LA,11
4,East Asia and Pacific,Cambodia,Low income,IDA,1999,November,Jupiter Power Phnom Penh,C1 - Phnom Penh,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,Phnom Penh,Not Available,Not Available,Not Available,,Not Available,,,1999,100,0,6,6,MW,15,Diesel,,,Not Available,,"Caterpillar Inc. (Not Available / 49% / United States), 
Maxim Power Corporation (Not Available / 51% / Canada)",Not Applicable,,No,No,,,OPIC (Not Available / Not Available / $Not Available),Yes,No,DE,38
5,East Asia and Pacific,Cambodia,Low income,IDA,1999,November,Jupiter Power Phnom Penh,C1 - Phnom Penh,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,Phnom Penh,Not Available,Not Available,Not Available,,Not Available,,,2002,100,0,2,2,MW,22,Diesel,,,Not Available,,"Caterpillar Inc. (Not Available / 49% / United States), 
Maxim Power Corporation (Not Available / 51% / Canada)",Not Applicable,,No,No,,,OPIC (Not Available / Not Available / $Not Available),Yes,No,OK,38
6,East Asia and Pacific,Cambodia,Low income,IDA,2001,May,Kampong Cham City Diesel Plant,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Kampong Cham City,25,National,Not Available,,Not Available,,,2001,100,0,8,8,MW,20,Diesel,,,Not Available,,Global Technological Support Bhd (Not Available / 100% / Malaysia),Not Applicable,,No,No,,,EXIM Bank Malaysia (Not Available / Not Available / $Not Available),Yes,No,DE,8
7,East Asia and Pacific,Cambodia,Low income,IDA,2001,April,Kirirom 1 and 3 Hydropower Stations ,Kirium Hydro Station Project,Brownfield,"Rehabilitate, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Kirirom Area,32,National,Not Available,,Not Available,,,2001,100,0,20,20,MW,12,"Hydro, Small (<50MW)",,,Direct negotiation,,China Electric Power Technology Import and Export Corp (Not Available / 100% / China),Not Applicable,,No,No,,,EX-IM Bank of China (Not Available / Not Available / $Not Available),Yes,No,NV,44
8,East Asia and Pacific,Cambodia,Low income,IDA,2001,April,Kirirom 1 and 3 Hydropower Stations ,Kirium Hydro Station Project,Brownfield,"Rehabilitate, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Kirirom Area,32,National,Not Available,,Not Available,,,2008,100,Not Available,47.1,47.1,MW,30,"Hydro, Small (<50MW)",,,Direct negotiation,,China Electric Power Technology Import and Export Corp (Not Available / 100% / China),Not Applicable,,No,No,,,EX-IM Bank of China (Not Available / Not Available / $Not Available),Yes,No,NV,35
9,East Asia and Pacific,Cambodia,Low income,IDA,2004,February,Khmer Electric Power,,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,"Khan Mean Chay, Pnohm Penh",18,National,Not Available,,Not Available,,,2004,100,0,25,25,MW,32,Diesel,,,Not Available,,Anco Group (Not Available / 100% / Cambodia),Not Applicable,,No,No,,,,Yes,No,DE,45
